page_number,x0,y0,x1,y1,text,block_no,line_no,word_no
146,78,342,103,349,arancelaria,52,0,2
147,54,352,93,362,8421310000,11,0,0
147,44,342,51,349,59.,52,0,0
147,53,342,77,349,Subpartida,52,0,1
147,78,342,103,349,arancelaria,52,0,2
148,54,352,93,362,8507100000,11,0,0
148,44,342,51,349,59.,52,0,0
148,53,342,77,349,Subpartida,52,0,1
148,78,342,103,349,arancelaria,52,0,2
149,54,352,93,362,8512209000,11,0,0
149,44,342,51,349,59.,52,0,0
149,53,342,77,349,Subpartida,52,0,1
149,78,342,103,349,arancelaria,52,0,2
150,54,352,93,362,8512209000,11,0,0
150,329,319,336,326,57.,52,0,0
150,337,319,357,326,Empresa,52,0,1
150,359,319,391,326,transportadora,52,0,2
151,54,352,93,362,8511309200,11,0,0
151,44,342,51,349,59.,52,0,0
151,53,342,77,349,Subpartida,52,0,1
151,78,342,103,349,arancelaria,52,0,2
152,54,352,93,362,8512209000,11,0,0
152,44,342,51,349,59.,52,0,0
152,53,342,77,349,Subpartida,52,0,1
152,78,342,103,349,arancelaria,52,0,2
153,54,352,93,362,8512209000,11,0,0
153,329,319,336,326,57.,52,0,0
153,337,319,357,326,Empresa,52,0,1
153,359,319,391,326,transportadora,52,0,2
154,54,352,93,362,8511809000,11,0,0
154,44,342,51,349,59.,52,0,0
154,53,342,77,349,Subpartida,52,0,1
154,78,342,103,349,arancelaria,52,0,2
155,54,352,93,362,8512201000,11,0,0
155,44,342,51,349,59.,52,0,0
155,53,342,77,349,Subpartida,52,0,1
155,78,342,103,349,arancelaria,52,0,2
157,54,352,93,362,8708292000,11,0,0
157,44,342,51,349,59.,52,0,0
157,53,342,77,349,Subpartida,52,0,1
157,78,342,103,349,arancelaria,52,0,2
158,54,352,93,362,8536411000,11,0,0
158,44,342,51,349,59.,52,0,0
158,53,342,77,349,Subpartida,52,0,1
158,78,342,103,349,arancelaria,52,0,2
159,54,352,93,362,8544300000,11,0,0
159,44,342,51,349,59.,52,0,0
159,53,342,77,349,Subpartida,52,0,1
159,78,342,103,349,arancelaria,52,0,2
161,54,352,93,362,8512309000,11,0,0
161,44,342,51,349,59.,52,0,0
161,53,342,77,349,Subpartida,52,0,1
161,78,342,103,349,arancelaria,52,0,2
162,54,352,93,362,8708292000,11,0,0
162,329,319,336,326,57.,52,0,0
162,337,319,357,326,Empresa,52,0,1
162,359,319,391,326,transportadora,52,0,2
163,54,352,93,362,8708299000,11,0,0
163,44,342,51,349,59.,52,0,0
163,53,342,77,349,Subpartida,52,0,1
163,78,342,103,349,arancelaria,52,0,2
164,54,352,93,362,8544300000,11,0,0
164,44,342,51,349,59.,52,0,0
164,53,342,77,349,Subpartida,52,0,1
164,78,342,103,349,arancelaria,52,0,2
166,54,352,93,362,8544300000,11,0,0
166,44,342,51,349,59.,52,0,0
166,53,342,77,349,Subpartida,52,0,1
166,78,342,103,349,arancelaria,52,0,2
168,54,352,93,362,8544300000,11,0,0
168,44,342,51,349,59.,52,0,0
168,53,342,77,349,Subpartida,52,0,1
168,78,342,103,349,arancelaria,52,0,2
